"Temperatura";"Vlaga";"Vjetar";"Sunce";"O3";"NO";"NO2"
"18.002";"88.451";"1.24944";"-0.381952";"37.3472";"1.28611";"7.8944"
"18.0028";"88.772";"0.99861";"-0.366761";"31.6889";"1.36667";"9.1917"
"17.9559";"89.406";"0.80806";"-0.310337";"27.6667";"1.61944";"11.1972"
"17.9171";"89.896";"0.55722";"-0.373271";"24.0667";"1.86944";"11.5667"
"17.8494";"90.262";"0.55056";"-0.414504";"23.1278";"1.375";"11.75"
"17.8796";"91.068";"0.420278";"-0.444886";"19.7167";"1.83611";"12.6694"
"17.6545";"91.105";"0.7625";"-0.288636";"25.8806";"1.37222";"11.0583"
"17.6033";"91.072";"0.90083";"-0.290806";"26.1639";"1.45556";"10.7889"
"17.6727";"90.91";"0.58056";"-0.329869";"32.7194";"0.98889";"8.2194"
"17.6788";"91.006";"0.7725";"-0.388462";"23.7778";"1.48611";"11.2472"
"17.6816";"90.973";"0.65194";"-0.377612";"26.175";"2.05";"11.0417"
"17.6879";"90.599";"0.98083";"-0.35808";"28.3833";"1.86111";"10.3417"
"17.7309";"90.143";"1.10611";"-0.384122";"33.1222";"1.25";"8.5806"
"17.7624";"90.296";"0.70333";"-0.360251";"30.1889";"1.37222";"9.2778"
"17.7174";"90.46";"0.445";"-0.388462";"29.4667";"1.23056";"8.5694"
"17.6293";"91.221";"0.240278";"-0.444886";"20.9639";"2.48056";"11.025"
"17.372";"92.262";"0.438611";"-0.407994";"17.2722";"3.34167";"14.1472"
"17.2331";"92.762";"0.386389";"-0.444886";"20.5917";"2.54167";"12.3778"
"17.1723";"93.065";"0.72083";"-0.388462";"20.3194";"1.11944";"11.7528"
"17.2027";"93.505";"0.59139";"-0.460077";"18.7389";"2.09722";"11.8472"
"17.0538";"93.886";"0.198611";"-0.54688";"19.6083";"1.75278";"10.7917"
"16.9379";"94.492";"0.102222";"-0.57509";"23.4972";"1.38056";"9.0278"
"16.913";"94.879";"0.478889";"-0.57726";"24.1111";"1.43056";"8.1611"
"16.9332";"95.092";"0.60611";"-0.56424";"24.2611";"1.1";"8.4861"
"16.9221";"95.313";"0.74889";"-0.50131";"22.1333";"1.43611";"8.9583"
"16.9175";"95.616";"0.68944";"-0.52735";"21.3722";"1.51389";"9.2583"
"16.7025";"95.43";"0.286667";"-0.444886";"27.6944";"0.825";"7.8167"
"16.6949";"95.345";"0.197778";"-0.407994";"26.8306";"1.65556";"7.4611"
"16.6226";"95.485";"0.332778";"-0.308167";"25.9528";"1.33611";"7.55"
"16.6335";"95.75";"0.273611";"-0.360251";"27.9417";"1.22222";"6.0694"
"16.646";"95.636";"0.465";"-0.297317";"29.4333";"0.66944";"6.1083"
"16.571";"95.734";"0.458056";"-0.301657";"29.0222";"1.08333";"5.1667"
"16.6172";"95.686";"0.344444";"-0.329869";"30.6667";"1.01944";"4.66111"
"16.6955";"95.582";"0.428611";"-0.305997";"31.95";"0.297222";"4.12778"
"16.6135";"94.587";"0.51";"-0.305997";"34.2472";"0.76667";"4.22778"
"16.7667";"93.434";"0.54806";"-0.288636";"39.7222";"0.81389";"2.24167"
"16.6968";"93.268";"0.262778";"-0.329869";"34.3278";"0.461111";"2.775"
"16.6847";"93.215";"0.351389";"-0.319018";"33.4167";"0.444445";"3.19444"
"16.6079";"93.249";"0.437222";"-0.35374";"33.5528";"1.14167";"3.025"
"16.5783";"93.386";"0.289444";"-0.362421";"34.5694";"0.69444";"3.06389"
"16.5647";"93.613";"0.436389";"-0.336379";"31.6639";"5.0556";"4.08333"
"16.515";"93.58";"1.0175";"-0.35591";"32.0111";"1.83611";"3.35278"
"16.4907";"94.029";"0.67639";"-0.447056";"28.4667";"1.50833";"3.38611"
"16.5063";"94.333";"0.64472";"-0.399313";"27.2167";"1.44167";"4.46111"
"16.5148";"94.45";"0.356944";"-0.5165";"28.6222";"1.09444";"4.49444"
"16.3253";"94.906";"0.260556";"-0.52952";"27.9722";"1.36667";"2.88333"
"16.4351";"95.413";"0.357222";"-0.401483";"27.1861";"1.18056";"3.675"
"16.2656";"95.703";"0.88861";"-0.371101";"24.1833";"1.30556";"4.70278"
"16.1569";"96.2";"0.53917";"-0.377612";"24.1417";"1.20278";"4.83056"
"16.0983";"96.392";"0.61472";"-0.379782";"26.2805";"1.20833";"4.13611"
"16.1009";"96.687";"0.445556";"-0.336379";"26.35";"0.86667";"3.55556"
"16.0864";"96.827";"0.464444";"-0.35374";"27.5694";"1.34722";"2.41389"
"16.0538";"97.003";"0.298611";"-0.373271";"26.7861";"1.13333";"2.88611"
"16.0985";"97.314";"0.249722";"-0.368931";"25.3";"1.14722";"3.06389"
"16.1272";"97.666";"0.314444";"-0.323358";"24.1389";"0.77778";"3.40556"
"16.1832";"97.837";"0.124167";"-0.262594";"23.6139";"1.30556";"3.36111"
"16.2031";"97.903";"0.385278";"-0.297317";"24.1167";"1.29722";"3.5"
"16.1107";"97.737";"0.84472";"-0.290806";"23.3417";"0.88333";"3.16667"
"16.1456";"97.739";"0.321945";"-0.334209";"23.7167";"1.27222";"3.075"
"16.1198";"97.64";"0.446111";"-0.336379";"23.9167";"1.32778";"3.85556"
"16.1595";"97.74";"0.413333";"-0.371101";"24.1833";"1.84167";"2.11667"
"16.1871";"97.857";"0.453056";"-0.397143";"24.5861";"1.58889";"2.36111"
"16.097";"97.676";"0.213889";"-0.381952";"31.1";"1.37778";"1.55"
"16.1484";"97.618";"0.61167";"-0.338549";"29.2167";"0.95278";"2.18056"
"16.2023";"97.743";"0.54611";"-0.405824";"29";"0.81667";"2.275"
"16.2567";"97.654";"0.258333";"-0.35157";"28.8917";"1.03333";"2.20278"
"16.2943";"97.398";"0.286389";"-0.264764";"30.4694";"0.79444";"2.71944"
"16.1684";"97.118";"0.59444";"-0.292976";"28.0417";"1.44722";"2.39167"
"16.227";"96.779";"0.382778";"-0.277785";"32.3444";"0.377778";"2.38889"
"16.2316";"96.347";"0.381389";"-0.273445";"30.4167";"1.64167";"1.675"
"16.304";"96.082";"0.71722";"-0.264764";"29.6806";"1.525";"1.51944"
"16.3559";"96.14";"0.57583";"-0.35374";"29.5056";"1.28889";"1.80278"
"16.36";"95.82";"0.2525";"-0.332039";"30.8333";"0.97778";"1.3"
"16.3576";"95.712";"0.150833";"-0.407994";"29.5694";"0.725";"1.47222"
"16.3978";"95.951";"0.301111";"-0.390633";"27.65";"0.98889";"1.66389"
"16.4518";"96.099";"0.417222";"-0.325528";"27.4167";"0.98889";"2.50556"
"16.5501";"95.978";"0.213889";"-0.366761";"28.175";"0.875";"2.38333"
"16.2893";"95.633";"0.321111";"-0.334209";"30.2194";"1.05833";"1.86667"
"16.3659";"95.532";"0.315833";"-0.308167";"28.6167";"0.59167";"2.27222"
"16.3811";"95.468";"0.382778";"-0.342889";"12.4972";"0.71389";"2.69444"
"16.3798";"95.465";"0.241667";"-0.364591";"7.3833";"1.41389";"2.05278"
"16.4701";"95.582";"0.248889";"-0.431865";"7.2333";"1.21944";"1.90278"
"16.4382";"95.843";"0.2925";"-0.412334";"233.197";"0.458333";"2.59722"
"16.3974";"96.183";"0.65333";"-0.316848";"532.61";"0.35";"2.11389"
"16.5087";"96.183";"0.5925";"-0.35157";"519.94";"0.61944";"2.59167"
"16.5273";"96.021";"0.61444";"-0.316848";"468.25";"0.675";"2.52222"
"16.643";"96.111";"0.61194";"-0.35808";"33.2639";"1.02222";"1.91667"
"16.536";"95.843";"0.87611";"-0.319018";"26.6028";"0.57778";"2.28611"
"16.4592";"94.714";"0.455556";"-0.314678";"34.8167";"0.87222";"2.31667"
"16.5536";"94.616";"0.423889";"-0.397143";"33.3861";"0.82222";"1.78056"
"16.4026";"94.887";"0.54472";"-0.421014";"33.35";"0.68889";"1.06389"
"16.4844";"95.373";"0.443889";"-0.364591";"33.4083";"0.51389";"2.08889"
"16.4531";"95.324";"0.70528";"-0.379782";"34.1833";"0.269444";"1.84722"
"16.416";"95.614";"0.73583";"-0.334209";"33.95";"0.89167";"1.19167"
"16.4533";"95.949";"0.86528";"-0.273445";"33.9667";"1.12222";"0.91944"
"16.4644";"95.823";"0.487778";"-0.167108";"34.2111";"1.14167";"0.89444"
"16.5228";"95.9";"0.79222";"-0.156257";"33.5389";"0.97222";"1.38611"
"16.383";"95.829";"0.335";"-0.071622";"32.4667";"0.444444";"1.31667"
"16.3863";"95.857";"0.218056";"0.086798";"32";"0.191667";"2.13611"
"16.429";"96.072";"0.448611";"0.27126";"30.85";"0.85556";"1.99444"
"16.4809";"96.697";"0.50778";"0.5881";"28.7333";"0.86389";"2.03333"
"16.4842";"96.342";"0.358055";"0.93098";"30.45";"0.825";"2.00556"
"16.4863";"95.892";"0.412778";"1.23914";"30.9333";"1.25";"2.1"
"16.4941";"95.841";"0.75556";"1.60807";"28.9306";"1.45278";"1.21111"
"16.528";"96.079";"0.52889";"2.21136";"28.6667";"1.23889";"1.46111"
"16.5527";"96.49";"0.56556";"2.51952";"27.5417";"1.02778";"1.71667"
"16.6048";"96.382";"0.68361";"3.48958";"29.2083";"0.169445";"2.11389"
"16.4169";"96.052";"0.391389";"5.293";"29.3167";"0.88056";"1.69167"
"16.3173";"96.043";"0.321389";"6.5625";"28.6333";"1.25278";"1.49167"
"16.3757";"96.201";"0.298611";"7.8255";"28.9667";"-0.133333";"2.60556"
"16.4078";"95.952";"0.186944";"10.1801";"29.7333";"0.85";"1.99167"
"16.5224";"95.725";"0.3175";"10.8898";"28.7167";"0.76389";"2.125"
"16.633";"95.704";"0.402222";"8.2183";"27.3528";"1.01944";"1.37222"
"16.6649";"95.134";"0.52361";"8.1141";"28.3";"1.25833";"2.37778"
"16.5714";"95.127";"0.78889";"8.5547";"27.9333";"1.23333";"3.18056"
"16.7159";"95.446";"0.313889";"10.5946";"27.9";"0.93333";"2.46389"
"16.7335";"95.465";"0.58722";"12.1007";"28.3111";"1.00556";"2.125"
"16.6489";"95.072";"1.37639";"11.6688";"30.15";"1.31389";"2.54167"
"16.5788";"94.82";"1.39722";"10.8485";"30.2167";"1.04444";"2.38889"
"16.5043";"94.604";"1.43694";"13.0013";"31.3";"1.40278";"2.78889"
"16.4952";"94.917";"0.955";"18.2747";"30.95";"1.08333";"2.8"
"16.5161";"94.841";"0.6625";"10.8138";"29.8833";"1.33889";"3.16111"
"16.6178";"95.292";"0.58417";"6.6602";"28.9167";"1.24722";"3.14167"
"16.556";"95.298";"0.86111";"9.6506";"31.1055";"1.08056";"2.72778"
"16.5256";"95.197";"0.7875";"17.474";"31.0805";"0.277778";"3.40278"
"16.6248";"95.441";"0.56889";"24.8785";"29.375";"0.71111";"3.09167"
"16.7127";"95.475";"0.57611";"27.2808";"29.7361";"0.99444";"2.64722"
"16.6721";"95.245";"0.61056";"19.7656";"30.7667";"0.88611";"3.06667"
"16.4796";"95.144";"0.91361";"14.3077";"30.3472";"0.61944";"2.84722"
"16.5441";"95.395";"0.373333";"19.9826";"29.2167";"0.71111";"2.48056"
"16.5738";"95.692";"0.201667";"28.2639";"25.9528";"1.59167";"3.84167"
"16.5634";"95.535";"0.298889";"25.0174";"27.7333";"1.24444";"3.17778"
"16.6886";"95.402";"0.486944";"35.6966";"27.7472";"1.50833";"2.72222"
"16.8155";"95.183";"0.348611";"46.1957";"27.15";"1.41944";"2.73611"
"16.8168";"94.762";"0.291944";"77.565";"28.6667";"1.15556";"3.13056"
"16.9787";"94.258";"0.321944";"85.996";"27.9333";"1.50278";"3.06389"
"17.0959";"93.566";"0.178333";"108.952";"29.4389";"1.21111";"3.44444"
"17.2435";"92.591";"0.405556";"106.651";"31.6278";"1.00556";"2.96944"
"17.1604";"91.85";"0.66056";"81.376";"26.1722";"1.36389";"4.88889"
"17.2593";"91.428";"0.315556";"63.279";"22.6556";"1.85";"6.7583"
"17.1584";"91.305";"0.308611";"57.018";"24.2639";"1.79167";"6.3083"
"17.171";"91.568";"0.5725";"35.5013";"24.0722";"1.52222";"6.1917"
